filter,slope,intercept,intercept_scaled,galaxy
f814w,0.9442583522833972,-8.557496328494762,-0.335827048491856,ic5332
f555w,0.9206655993110683,-11.932787352500366,-0.468285653074423,ic5332
f658n,0.9833054997318739,73.18569858986517,2.8720710130380107,ic5332
f814w,0.9657912671433866,-6.942068058286724,-0.27243181147284173,ngc1087
f555w,0.9460935394070483,-9.80705564715596,-0.3848642670652582,ngc1087
f657n,0.931569920831634,34.20758288316294,1.342429041709425,ngc1087
f555w,1.1191715199129222,-3.419779703404675,-0.13420450096631903,ngc1300
f814w,1.0013848859565146,-2.217113646694414,-0.08700754327654707,ngc1300
f658n,1.0058330842451146,-3.236633045757308,-0.12701716496080276,ngc1300
f555w,1.0417568698554687,-35.554386965440905,-1.3952824958607455,ngc1365
f657n,0.9511753106291705,20.10860835395942,0.7891343838854683,ngc1365
f814w,1.0091319051867396,-28.998637199728222,-1.138011208797544,ngc1365
f555w,0.9627857872312189,-35.96118627782391,-1.4112467694241713,ngc1365n
f657n,0.9472276744208333,20.04705128879043,0.7867186624272321,ngc1365n
f814w,0.997206855358818,-29.177768602937242,-1.145040971723831,ngc1365n
f814w,0.979240838323526,-7.5722037255617884,-0.29716060984647236,ngc1385
f555w,1.0247806811317752,-11.638435729000912,-0.4567342327589444,ngc1385
f657n,0.9452537570637676,33.74393244645223,1.3242337247948213,ngc1385
f814w,0.9714323249420566,-21.01513008821759,-0.824709569281217,ngc1433
f657n,0.9733532338399675,-25.02411940070368,-0.9820367823545778,ngc1433
f555w,0.9924799743399341,-25.272087793121344,-0.991767957238943,ngc1433
f814w,1.0041640847977449,-24.73289664113811,-0.9706081499550637,ngc1566
f555w,0.9852206572948932,-40.59837522352528,-1.5932268039055737,ngc1566
f658n,0.9642166758879951,60.5867568470616,2.377643056870743,ngc1566
f555w,0.9356967611848697,-6.958266399709511,-0.2730674928662844,ngc1672
f658n,1.004573350287766,-13.359245720013984,-0.5242650289303601,ngc1672
f814w,1.011194859565276,-6.707536871621578,-0.2632279610505182,ngc1672
f658n,0.9658019900952454,28.350572284849605,1.1125788020233662,ngc2835s
f814w,1.031480567141521,-15.730350011642658,-0.6173157210203553,ngc2835s
f555w,0.957755916452593,-19.756609785113096,-0.775320689329106,ngc2835s
f814w,0.9638285587819816,-7.208889343530499,-0.28290284193064646,ngc3351
f555w,0.9275653774983962,-8.600645710264029,-0.3375203860017501,ngc3351
f658n,0.9076382802623727,18.231978478411133,0.7154886529351081,ngc3351
f658n,0.9456313054866071,0.7377791129639202,0.028953115775299933,ngc3627
f555w,0.8905670308602991,-26.460283469552504,-1.0383970449684903,ngc3627
f814w,0.9508920397280141,-25.57452771816912,-1.003636791705946,ngc3627
f657n,0.9597777165295961,33.180030506993894,1.3021041770044763,ngc4254
f555w,1.0545706105189565,-4.051451100127712,-0.15899356690747135,ngc4254
f814w,0.9995816242019537,-8.03955547223854,-0.31550117952587226,ngc4254
f657n,0.9784588303929539,10.06013591467617,0.3947960503825163,ngc4254e
f814w,0.9995816242019537,-8.03955547223854,-0.31550117952587226,ngc4254e
f555w,1.0545706105189565,-4.051451100127712,-0.15899356690747135,ngc4254e
f657n,0.9408798214943352,25.40363434546804,0.9969303188360809,ngc4321
f814w,0.9986387229704669,-29.178217505717626,-1.1450585882894724,ngc4321
f555w,1.0438068429266507,-34.62097232834582,-1.358651935874297,ngc4321
f814w,0.9591462228133757,-5.813142643162977,-0.22812870276264052,ngc5068
f555w,0.9420326767344332,-11.032734883968502,-0.4329643450198238,ngc5068
f658n,0.9262903544122755,-1.6862879955099206,-0.06617602844346829,ngc5068
f814w,0.9591462228133757,-5.813142643162977,-0.22812870276264052,ngc5068n
f555w,0.9420326767344332,-11.032734883968502,-0.4329643450198238,ngc5068n
f658n,0.9431116716986815,7.131816983661751,0.27987824429817787,ngc5068n
f814w,0.9661611493064511,-16.43093751526319,-0.6448093037833109,ngc5068s
f658n,0.9153796120223385,-6.915760659740588,-0.2713994141841827,ngc5068s
f555w,0.9643363143713852,-24.737142806682908,-0.9707747848196991,ngc5068s
f555w,0.985086620480417,-18.9759165868534,-0.7446834699269521,ngc628c
f814w,1.0278033046894253,-14.052145038877097,-0.5514568995690877,ngc628c
f658n,1.022726386689564,-20.89192272127014,-0.8198744674236048,ngc628c
f555w,0.9288834692249112,-5.01642351902365,-0.19686256817537748,ngc628e
f814w,1.0452593342426624,-7.282956098928778,-0.2858094887934617,ngc628e
f658n,0.8873950899247678,67.21065498264662,2.6375887319833495,ngc628e
f657n,1.036362720391457,21.085398401994595,0.8274671515824392,ngc7496
f555w,1.0872859320844759,-9.220887498240701,-0.3618609128348076,ngc7496
f814w,1.0478430652775106,-5.71319241291832,-0.2242062949075093,ngc7496
